code,title,price,image_url,description,colour,material,category,style,room,Height,Depth,Width
WEST018,Westminster Chesterfield Grey Leather 3 Seater Sofa,1199,https://www.oakandmore.co.uk/static/media/catalog/product/w/e/west018_westminister_3_seater_leather_grey_lifestyle-web_ss.jpg,The stunning Westminster Chesterfield exudes luxury. Traditional buttoning and brass studs are matched with top grain leather for a timeless look.,Grey,Leather,Sofas,Transitional,Living Room,78cm,90cm,220cm
WEST005,Westminster Chesterfield Grey Linen 2 Seater Sofa,599,https://www.oakandmore.co.uk/static/media/catalog/product/g/r/grey_linen_-_westminster_-_2_seater_-_lifestyle_-_12122024.jpg,The stunning Westminster Chesterfield exudes luxury. Traditional buttoning and brass studs are matched with smooth fabrics for a timeless look.,Grey,Fabric,Sofas,Transitional,Living Room,78cm,90cm,161cm
WEST006,Westminster Chesterfield Grey Linen Fabric 3 Seater Sofa,699,https://www.oakandmore.co.uk/static/media/catalog/product/g/r/grey_linen_-_westminster_-_3_seater_-_lifestyle_2_-_12122024.jpg,The stunning Westminster Chesterfield exudes luxury. Traditional buttoning and brass studs are matched with smooth fabrics for a timeless look.,Grey,Fabric,Sofas,Transitional,Living Room,78cm,90cm,220cm
WEST011,Westminster Chesterfield Ivory Linen 2 Seater Sofa,699,https://www.oakandmore.co.uk/static/media/catalog/product/i/v/ivory_linen_-_westminster_-_2_seater_-_lifestyle_-_12122024.jpg,The stunning Westminster Chesterfield exudes luxury. Traditional buttoning and brass studs are matched with smooth fabric for a timeless look.,Natural,Fabric,Sofas,Transitional,Living Room,78cm,90cm,161cm
WEST012,Westminster Chesterfield Ivory Linen 3 Seater Sofa,799,https://www.oakandmore.co.uk/static/media/catalog/product/i/v/ivory_linen_-_westminster_-_3_seater_-_lifestyle_-_12122024.jpg,The stunning Westminster Chesterfield exudes luxury. Traditional buttoning and brass studs are matched with smooth fabric for a timeless look.,Natural,Fabric,Sofas,Transitional,Living Room,78cm,90cm,220cm
WEST009,Westminster Chesterfield Light Grey Velvet 2 Seater Sofa,599,https://www.oakandmore.co.uk/static/media/catalog/product/l/_/l_grey_velvet_-_westminster_-_2_seater_-_lifestyle_-_12122024.jpg,The stunning Westminster Chesterfield exudes luxury. Traditional buttoning and brass studs are matched with soft velvet for a timeless look.,Grey,Velvet,Sofas,Transitional,Living Room,78cm,90cm,161cm
WEST010,Westminster Chesterfield Light Grey Velvet 3 Seater Sofa,749,https://www.oakandmore.co.uk/static/media/catalog/product/l/_/l_grey_velvet_-_westminster_-_3_seater_-_lifestyle_-_12122024.jpg,The stunning Westminster Chesterfield exudes luxury. Traditional buttoning and brass studs are matched with soft velvet for a timeless look.,Grey,Velvet,Sofas,Transitional,Living Room,78cm,90cm,220cm
MOU020,Weymouth Oak and Soft White Painted 2 Drawer Bedside Chest,199,https://www.oakandmore.co.uk/static/media/catalog/product/m/o/mou020_weymouthsoftwhite_2drawerbedsidechest_a_updated_ss.jpg,The stunning <a href=/ranges/weymouth>Weymouth Collection</a> combines classic design with exceptional durability. Featuring soft off-white painted solid hardwood frames with panel detailing and 100% solid oak tops for a traditional two-toned finish.,White,Hardwood,Bedside Tables,Scandinavian,Bedroom,60cm,37cm,47cm
MOU018,Weymouth Oak and Soft White Painted 2 Over 3 Chest of Drawers,429,https://www.oakandmore.co.uk/static/media/catalog/product/m/o/mou018_weymouthsoftwhite_3plus2chestofdrawers_a_updated_ss.jpg,The stunning <a href=/ranges/weymouth>Weymouth Collection</a> combines classic design with exceptional durability. Featuring soft off-white painted solid hardwood frames with panel detailing and 100% solid oak tops for a traditional two-toned finish.,White,Hardwood,Chest of Drawers,Scandinavian,Bedroom,98cm,43cm,98cm
MOU013,Weymouth Oak and Soft White Painted 4 Drawer Coffee Table,319,https://www.oakandmore.co.uk/static/media/catalog/product/m/o/mou013_weymouthsoftwhite_coffeetable_a_updated_ss.jpg,The stunning <a href=/ranges/weymouth>Weymouth Collection</a> combines classic design with exceptional durability. Featuring soft off-white painted solid hardwood frames with panel detailing and 100% solid oak tops for a traditional two-toned finish.,White,Hardwood,Coffee Tables,Scandinavian,Living Room,46cm,60cm,120cm
MOU017,Weymouth Oak and Soft White Painted 5 Drawer Tallboy,349,https://www.oakandmore.co.uk/static/media/catalog/product/m/o/mou017_weymouthsoftwhite_5drawertallboychest_a_updated_ss.jpg,The stunning <a href=/ranges/weymouth>Weymouth Collection</a> combines classic design with exceptional durability. Featuring soft off-white painted solid hardwood frames with panel detailing and 100% solid oak tops for a traditional two-toned finish.,White,Hardwood,Chest of Drawers,Scandinavian,Bedroom,119cm,43cm,52cm
MOU021,Weymouth Oak and Soft White Painted Bedside Table,169,https://www.oakandmore.co.uk/static/media/catalog/product/m/o/mou021_weymouthsoftwhite_1drawerbedsidetable_a_updated_ss.jpg,The stunning <a href=/ranges/weymouth>Weymouth Collection</a> combines classic design with exceptional durability. Featuring soft off-white painted solid hardwood frames with panel detailing and 100% solid oak tops for a traditional two-toned finish.,White,Hardwood,Bedside Tables,Scandinavian,Bedroom,60cm,37cm,42cm
MOU026,Weymouth Oak and Soft White Painted Blanket Box,249,https://www.oakandmore.co.uk/static/media/catalog/product/m/o/mou026_weymouthsoftwhite_blanketbox_a_updated_ss.jpg,The stunning <a href=/ranges/weymouth>Weymouth Collection</a> combines classic design with exceptional durability. Featuring soft off-white painted solid hardwood frames with panel detailing and 100% solid oak tops for a traditional two-toned finish.,White,Hardwood,Blanket Boxes,Scandinavian,Bedroom,50cm,50cm,98cm
MOU012,Weymouth Oak and Soft White Painted Computer Desk,549,https://www.oakandmore.co.uk/static/media/catalog/product/m/o/mou012_weymouthsoftwhite_computerdesk_a_updated_ss.jpg,The stunning <a href=/ranges/weymouth>Weymouth Collection</a> combines classic design with exceptional durability. Featuring soft off-white painted solid hardwood frames with panel detailing and 100% solid oak tops for a traditional two-toned finish.,White,Hardwood,Desks,Scandinavian,Office,77cm,60cm,130cm
MOU008,Weymouth Oak and Soft White Painted Corner TV Cabinet,319,https://www.oakandmore.co.uk/static/media/catalog/product/m/o/mou008_weymouthsoftwhite_cornertvcabinet_a_updated_ss.jpg,The stunning <a href=/ranges/weymouth>Weymouth Collection</a> combines classic design with exceptional durability. Featuring soft off-white painted solid hardwood frames with panel detailing and 100% solid oak tops for a traditional two-toned finish.,White,Hardwood,TV Units,Scandinavian,Living Room,60cm,50cm,98cm
MOU030,Weymouth Oak and Soft White Painted Double Bed,579,https://www.oakandmore.co.uk/static/media/catalog/product/w/e/weymouth_oak_and_white_s_feed.jpg,The stunning <a href=/ranges/weymouth>Weymouth Collection</a> combines classic design with exceptional durability. Featuring soft off-white painted solid hardwood frames with panel detailing and 100% solid oak tops for a traditional two-toned finish.,White,Hardwood,Beds,Scandinavian,Bedroom,135cm,210cm,148cm
MOU027,Weymouth Oak and Soft White Painted Double Wardrobe,749,https://www.oakandmore.co.uk/static/media/catalog/product/m/o/mou027_weymouthsoftwhite_doublewardrobe_a_updated_ss.jpg,The stunning <a href=/ranges/weymouth>Weymouth Collection</a> combines classic design with exceptional durability. Featuring soft off-white painted solid hardwood frames with panel detailing and 100% solid oak tops for a traditional two-toned finish.,White,Hardwood,Wardrobes,Scandinavian,Bedroom,190cm,66cm,110cm
MOU023,Weymouth Oak and Soft White Painted Dressing Stool,99,https://www.oakandmore.co.uk/static/media/catalog/product/m/o/mou022_weymouthsoftwhite_dressingstool_fhl_04_satinsilver_a-resized_ss.jpg,The stunning <a href=/ranges/weymouth>Weymouth Collection</a> combines classic design with exceptional durability. Featuring soft off-white painted solid hardwood frames with panel detailing and 100% solid oak tops for a traditional two-toned finish.,White,Hardwood,Stools,Scandinavian,Bedroom,45cm,,45cm
MOU022,Weymouth Oak and Soft White Painted Dressing Table,399,https://www.oakandmore.co.uk/static/media/catalog/product/w/e/weymouth_white_dressing_table_solid_stamp.jpg,The stunning <a href=/ranges/weymouth>Weymouth Collection</a> combines classic design with exceptional durability. Featuring soft off-white painted solid hardwood frames with panel detailing and 100% solid oak tops for a traditional two-toned finish.,White,Hardwood,Dressing Tables,Scandinavian,Bedroom,77cm,43cm,120cm
MOU022/MOU023/MIR530-SWHITE,Weymouth Oak and Soft White Painted Dressing Table Set,559,https://www.oakandmore.co.uk/static/media/catalog/product/m/o/mou022_weymouthsoftwhite_dressingtablemirrorstool_a_updated_ss_1.jpg,The stunning <a href=/ranges/weymouth>Weymouth Collection</a> combines classic design with exceptional durability. Featuring soft off-white painted solid hardwood frames with panel detailing and 100% solid oak tops for a traditional two-toned finish.,White,Hardwood,Dressing Table Sets,Scandinavian,Living Room,77cm/56cm/45cm,43cm/10cm/36cm,120cm/53cm/45cm
MOU014,Weymouth Oak and Soft White Painted Extra Large 6 Drawer Coffee Table,399,https://www.oakandmore.co.uk/static/media/catalog/product/m/o/mou014_weymouthsoftwhite_extralargecoffeetable_a_updated_ss.jpg,The stunning <a href=/ranges/weymouth>Weymouth Collection</a> combines classic design with exceptional durability. Featuring soft off-white painted solid hardwood frames with panel detailing and 100% solid oak tops for a traditional two-toned finish.,White,Hardwood,Coffee Tables,Scandinavian,Living Room,46cm,90cm,150cm
MOU002,Weymouth Oak and Soft White Painted Extra Large Sideboard,679,https://www.oakandmore.co.uk/static/media/catalog/product/m/o/mou002_weymouthsoftwhite_extralargesideboard_a_updated_ss.jpg,The stunning <a href=/ranges/weymouth>Weymouth Collection</a> combines classic design with exceptional durability. Featuring soft off-white painted solid hardwood frames with panel detailing and 100% solid oak tops for a traditional two-toned finish.,White,Hardwood,Sideboards,Scandinavian,Living Room,78cm,43cm,160cm
MOU009,Weymouth Oak and Soft White Painted Glazed Display Cabinet,579,https://www.oakandmore.co.uk/static/media/catalog/product/m/o/mou009_weymouthsoftwhite_glazeddisplaycabinet_a_updated_ss.jpg,The stunning <a href=/ranges/weymouth>Weymouth Collection</a> combines classic design with exceptional durability. Featuring soft off-white painted solid hardwood frames with panel detailing and 100% solid oak tops for a traditional two-toned finish.,White,Hardwood,Display Cabinets,Scandinavian,Living Room,190cm,35cm,85cm
MOU004,Weymouth Oak and Soft White Painted Hallway Sideboard,299,https://www.oakandmore.co.uk/static/media/catalog/product/m/o/mou004_weymouthsoftwhite_hallwaysideboard_a_updated_ss.jpg,The stunning <a href=/ranges/weymouth>Weymouth Collection</a> combines classic design with exceptional durability. Featuring soft off-white painted solid hardwood frames with panel detailing and 100% solid oak tops for a traditional two-toned finish.,White,Hardwood,Sideboards,Scandinavian,Living Room,87cm,35cm,80cm
MOU029,Weymouth Oak and Soft White Painted Kingsize Bed,649,https://www.oakandmore.co.uk/static/media/catalog/product/w/e/weymouth_oak_and_white_l_feed.jpg,The stunning <a href=/ranges/weymouth>Weymouth Collection</a> combines classic design with exceptional durability. Featuring soft off-white painted solid hardwood frames with panel detailing and 100% solid oak tops for a traditional two-toned finish.,White,Hardwood,Beds,Scandinavian,Bedroom,135cm,220cm,163cm
MOU015,Weymouth Oak and Soft White Painted Lamp Table,159,https://www.oakandmore.co.uk/static/media/catalog/product/m/o/mou015_weymouthsoftwhite_lamptable_a_updated_ss.jpg,The stunning <a href=/ranges/weymouth>Weymouth Collection</a> combines classic design with exceptional durability. Featuring soft off-white painted solid hardwood frames with panel detailing and 100% solid oak tops for a traditional two-toned finish.,White,Hardwood,Side Tables,Scandinavian,Living Room,50cm,50cm,50cm
MOU001/MOU005,Weymouth Oak and Soft White Painted Large Dresser,779,https://www.oakandmore.co.uk/static/media/catalog/product/m/o/mou005_weymouthsoftwhite_largedresser_a_updated_ss.jpg,The stunning <a href=/ranges/weymouth>Weymouth Collection</a> combines classic design with exceptional durability. Featuring soft off-white painted solid hardwood frames with panel detailing and 100% solid oak tops for a traditional two-toned finish.,White,Hardwood,Dressers,Scandinavian,Living Room,83cm/107cm,43cm/35cm,139cm
MOU001,Weymouth Oak and Soft White Painted Large Sideboard,449,https://www.oakandmore.co.uk/static/media/catalog/product/m/o/mou001_weymouthsoftwhite_largesideboard_a_updated_ss.jpg,The stunning <a href=/ranges/weymouth>Weymouth Collection</a> combines classic design with exceptional durability. Featuring soft off-white painted solid hardwood frames with panel detailing and 100% solid oak tops for a traditional two-toned finish.,White,Hardwood,Sideboards,Scandinavian,Living Room,83cm,43cm,139cm
MOU016,Weymouth Oak and Soft White Painted Nest Of Tables,189,https://www.oakandmore.co.uk/static/media/catalog/product/m/o/mou016_weymouthsoftwhite_nestoftables_a_updated_ss.jpg,The stunning <a href=/ranges/weymouth>Weymouth Collection</a> combines classic design with exceptional durability. Featuring soft off-white painted solid hardwood frames with panel detailing and 100% solid oak tops for a traditional two-toned finish.,White,Hardwood,Nest of Tables,Scandinavian,Living Room,53cm/43cm,43cm/40cm,60cm/43cm
MOU003/MOU006,Weymouth Oak and Soft White Painted Small Dresser,599,https://www.oakandmore.co.uk/static/media/catalog/product/m/o/mou006_weymouthsoftwhite_smalldresser_a_updated_ss.jpg,The stunning <a href=/ranges/weymouth>Weymouth Collection</a> combines classic design with exceptional durability. Featuring soft off-white painted solid hardwood frames with panel detailing and 100% solid oak tops for a traditional two-toned finish.,White,Hardwood,Dressers,Scandinavian,Living Room,83cm/107cm,43cm/35cm,98cm
MOU003,Weymouth Oak and Soft White Painted Small Sideboard,399,https://www.oakandmore.co.uk/static/media/catalog/product/m/o/mou003_weymouthsoftwhite_smallsideboard_a_updated_ss.jpg,The stunning <a href=/ranges/weymouth>Weymouth Collection</a> combines classic design with exceptional durability. Featuring soft off-white painted solid hardwood frames with panel detailing and 100% solid oak tops for a traditional two-toned finish.,White,Hardwood,Sideboards,Scandinavian,Living Room,83cm,43cm,98cm
MOU007,Weymouth Oak and Soft White Painted Super Wide TV Cabinet,479,https://www.oakandmore.co.uk/static/media/catalog/product/m/o/mou007_weymouthsoftwhite_extralargetvcabinet_a_updated_ss.jpg,The stunning <a href=/ranges/weymouth>Weymouth Collection</a> combines classic design with exceptional durability. Featuring soft off-white painted solid hardwood frames with panel detailing and 100% solid oak tops for a traditional two-toned finish.,White,Hardwood,TV Units,Scandinavian,Living Room,60cm,43cm,160cm
MOU010,Weymouth Oak and Soft White Painted Tall Bookcase,539,https://www.oakandmore.co.uk/static/media/catalog/product/m/o/mou010_weymouthsoftwhite_tallbookcase_a_updated_ss.jpg,The stunning <a href=/ranges/weymouth>Weymouth Collection</a> combines classic design with exceptional durability. Featuring soft off-white painted solid hardwood frames with panel detailing and 100% solid oak tops for a traditional two-toned finish.,White,Hardwood,Bookcases,Scandinavian,Living Room,190cm,35cm,85cm
MOU028,Weymouth Oak and Soft White Painted Triple Wardrobe,999,https://www.oakandmore.co.uk/static/media/catalog/product/m/o/mou028_weymouthsoftwhite_triplewardrobe_a_updated_ss.jpg,The stunning <a href=/ranges/weymouth>Weymouth Collection</a> combines classic design with exceptional durability. Featuring soft off-white painted solid hardwood frames with panel detailing and 100% solid oak tops for a traditional two-toned finish.,White,Hardwood,Wardrobes,Scandinavian,Bedroom,190cm,66cm,144cm
MOU019,Weymouth Oak and Soft White Painted Wide Chest Of Drawers,549,https://www.oakandmore.co.uk/static/media/catalog/product/m/o/mou019_weymouthsoftwhite_widechestofdrawers_a_updated_ss.jpg,The stunning <a href=/ranges/weymouth>Weymouth Collection</a> combines classic design with exceptional durability. Featuring soft off-white painted solid hardwood frames with panel detailing and 100% solid oak tops for a traditional two-toned finish.,White,Hardwood,Chest of Drawers,Scandinavian,Bedroom,77cm,43cm,139cm
YORK004,York 120cm Solid Oak Dining Table,279,https://www.oakandmore.co.uk/static/media/catalog/product/y/o/york_120cmtable_b_ss.jpg,"The York Collection features beautifully crafted, durable 100% solid oak dining tables in classic, minimalist designs. Available in a range of shapes and sizes, there's a York table to suit every home.",Oak,Oak,Dining Tables,Mid Century Modern,Dining Room,75cm,120cm,75cm
